"id","name","code","account_type","reconcile","non_trade"
"ao_1111","Terrenos em bruto","1111","asset_current","False",""
"ao_1112","Terrenos com arranjos","1112","asset_current","False",""
"ao_1113","Subsolo","1113","asset_current","False",""
"ao_11141","Relativos a edifícios industriais","11141","asset_current","False",""
"ao_11142","Relativos a edifícios administrativos e comerciais","11142","asset_current","False",""
"ao_11143","Relativos a outros edifícios","11143","asset_current","False",""
"ao_11211","Integrados em conjuntos industriais","11211","asset_current","False",""
"ao_11212","Integrados em conjuntos administrativos e comerciais","11212","asset_current","False",""
"ao_11213","Outros conjuntos industriais","11213","asset_current","False",""
"ao_11214","Implantados em propriedade alheia","11214","asset_current","False",""
"ao_1122","Outras construções","1122","asset_current","False",""
"ao_1123","Instalações","1123","asset_current","False",""
"ao_1131","Material industrial","1131","asset_current","False",""
"ao_1132","Ferramentas industriais","1132","asset_current","False",""
"ao_1133","Melhoramentos em equipamentos básicos","1133","asset_current","False",""
"ao_1141","Equipamentos de carga e transporte","1141","asset_current","False",""
"ao_1151","Equipamento administrativo","1151","asset_current","False",""
"ao_1161","Taras e vasilhame","1161","asset_current","False",""
"ao_1191","Outras Imobilizações Corpóreas","1191","asset_current","False",""
"ao_1211","Trespasses","1211","asset_current","False",""
"ao_1221","Despesas de investigação e desenvolvimento","1221","asset_current","False",""
"ao_1231","Propriedade industrial e outros direitos e contratos","1231","asset_current","False",""
"ao_1241","Despesas de constituição","1241","asset_current","False",""
"ao_1291","Outras Imobilizações Incorpóreas","1291","asset_current","False",""
"ao_1311","Partes de Capital","1311","asset_current","False",""
"ao_1312","Obrigações e Títulos de Participação","1312","asset_current","False",""
"ao_1313","Empréstimos","1313","asset_current","False",""
"ao_1321","Partes de Capital","1321","asset_current","False",""
"ao_1322","Obrigações e Títulos de Participação","1322","asset_current","False",""
"ao_1323","Empréstimos","1323","asset_current","False",""
"ao_1331","Partes de Capital","1331","asset_current","False",""
"ao_1332","Obrigações e Títulos de Participação","1332","asset_current","False",""
"ao_1333","Empréstimos","1333","asset_current","False",""
"ao_1341","Investimentos em Imóveis","1341","asset_current","False",""
"ao_1351","Fundos","1351","asset_current","False",""
"ao_1391","Diamantes","1391","asset_current","False",""
"ao_1392","Ouro","1392","asset_current","False",""
"ao_1393","Depósitos Bancários","1393","asset_current","False",""
"ao_1411","Obra em curso","1411","asset_current","False",""
"ao_1421","Obra em curso","1421","asset_current","False",""
"ao_1471","Adiantamentos por conta de imobilizado Corpóreo","1471","asset_current","False",""
"ao_1481","Adiantamentos por conta de imobilizado Incorpóreo","1481","asset_current","False",""
"ao_1491","Adiantamentos por conta de investimentos financeiros","1491","asset_current","False",""
"ao_1811","Terrenos e recursos naturais","1811","asset_current","False",""
"ao_1812","Edifícios e outras construções","1812","asset_current","False",""
"ao_1813","Equipamento básico","1813","asset_current","False",""
"ao_1814","Equipamento de carga e transporte","1814","asset_current","False",""
"ao_1815","Equipamento administrativo","1815","asset_current","False",""
"ao_1816","Taras e vasilhame","1816","asset_current","False",""
"ao_1819","Outras Imobilizações Corpóreas","1819","asset_current","False",""
"ao_1821","Trespasses","1821","asset_current","False",""
"ao_1822","Despesas de investigação e desenvolvimento","1822","asset_current","False",""
"ao_1823","Propriedade industrial e outros direitos e contratos","1823","asset_current","False",""
"ao_1824","Despesas de constituiçào","1824","asset_current","False",""
"ao_1829","Outras Imobilizações Incorpóreas","1829","asset_current","False",""
"ao_1831","Terrenos e recursos naturais","1831","asset_current","False",""
"ao_1832","edifícios e outras construções","1832","asset_current","False",""
"ao_1911","Partes de Capital","1911","asset_current","False",""
"ao_1912","Obrigações e Títulos de Participação","1912","asset_current","False",""
"ao_1913","Empréstimos","1913","asset_current","False",""
"ao_1921","Partes de Capital","1921","asset_current","False",""
"ao_1922","Obrigações e Títulos de Participação","1922","asset_current","False",""
"ao_1923","Empréstimos","1923","asset_current","False",""
"ao_1931","Partes de Capital","1931","asset_current","False",""
"ao_1932","Obrigações e Títulos de Participação","1932","asset_current","False",""
"ao_1933","Empréstimos","1933","asset_current","False",""
"ao_1941","Partes de Capital","1941","asset_current","False",""
"ao_1991","Diamantes","1991","asset_current","False",""
"ao_1992","Ouro","1992","asset_current","False","False"
"ao_1993","Depósitos Bancários","1993","asset_current","False","False"
"ao_2111","Matérias-primas, Subsidiárias e de Consumo","2111","expense","False","False"
"ao_2121","Aquisição mercadorias","2121","expense","False","False"
"ao_2171","Devoluções de Compras","2171","expense","False","False"
"ao_2181","Descontos e Abatimentos em Compras","2181","expense","False","False"
"ao_2191","Descontos Diversos","2191","expense","False","False"
"ao_2211","Matérias-primas","2211","expense","False","False"
"ao_2221","Matérias Subsidiárias","2221","expense","False","False"
"ao_2231","Materiais Diversos","2231","expense","False","False"
"ao_2241","Embalagens de Consumo","2241","expense","False","False"
"ao_2251","Outros materiais","2251","expense","False","False"
"ao_2311","Produtos e trabalhos em curso","2311","expense","False","False"
"ao_2321","Produtos e trabalhos em curso","2321","expense","False","False"
"ao_2411","Produtos acabados","2411","expense","False","False"
"ao_2421","Produtos Intermédios","2421","expense","False","False"
"ao_2491","Em poder de terceiros","2491","expense","False","False"
"ao_2511","Subprodutos","2511","expense","False","False"
"ao_2521","Desperdícios, Resíduos e Refugos","2521","expense","False","False"
"ao_2611","Mercadorias","2611","expense","False","False"
"ao_2621","Mercadorias","2621","expense","False","False"
"ao_2691","Em poder de terceiros","2691","expense","False","False"
"ao_2711","Matérias-primas","2711","expense","False","False"
"ao_2721","Outros materiais","2721","expense","False","False"
"ao_2731","Mercadorias","2731","expense","False","False"
"ao_2811","Matérias-primas e outros materiais","2811","expense","False","False"
"ao_2821","Mercadorias","2821","expense","False","False"
"ao_2911","Provisão para Depreciação de Existências","2911","expense","False","False"
"ao_2921","Matérias-primas, Subsidiárias e de Consumo","2921","expense","False","False"
"ao_2931","Produtos e trabalhos em curso","2931","expense","False","False"
"ao_2941","Produtos acabados e Intermédios","2941","expense","False","False"
"ao_2951","Subprodutos, Desperdícios, Resíduos e Refugos","2951","expense","False","False"
"ao_2961","Mercadorias","2961","expense","False","False"
"ao_31111","Subsidiárias","31111","asset_current","False","False"
"ao_31112","Associadas","31112","asset_current","False","False"
"ao_31121","Nacionais","31121","asset_receivable","True","False"
"ao_31122","Estrangeiros","31122","asset_receivable","True","False"
"ao_31211","Subsidiárias","31211","asset_current","False","False"
"ao_31212","Associadas","31212","asset_current","False","False"
"ao_31221","Nacionais","31221","asset_current","False","False"
"ao_31222","Estrangeiros","31222","asset_current","False","False"
"ao_31311","Subsidiárias","31311","asset_current","False","False"
"ao_31312","Associadas","31312","asset_current","False","False"
"ao_31321","Nacionais","31321","asset_current","False","False"
"ao_31322","Estrangeiros","31322","asset_current","False","False"
"ao_3181","Clientes - correntes","3181","asset_current","False","False"
"ao_3182","Clientes - Títulos","3182","asset_current","False","False"
"ao_3191","Adiantamentos","3191","asset_current","False","False"
"ao_3192","Embalagens a devolver","3192","asset_current","False","False"
"ao_3193","Material a Consignação","3193","asset_current","False","False"
"ao_32111","Subsidiárias","32111","liability_current","False","False"
"ao_32112","Associadas","32112","liability_current","False","False"
"ao_32121","Nacionais","32121","liability_payable","True","False"
"ao_32122","Estrangeiros","32122","liability_payable","True","False"
"ao_32211","Subsidiárias","32211","liability_current","False","False"
"ao_32212","Associadas","32212","liability_current","False","False"
"ao_32221","Nacionais","32221","liability_current","False","False"
"ao_32222","Estrangeiros","32222","liability_current","False","False"
"ao_3281","Fornecedores - Facturas em Recepção e Conferência","3281","liability_current","False",""
"ao_3291","Adiantamentos","3291","liability_current","False",""
"ao_3292","Embalagens a devolver","3292","liability_current","False",""
"ao_3293","Material a Consignação","3293","liability_current","False",""
"ao_33111","Banco","33111","liability_current","False",""
"ao_33121","Banco","33121","liability_current","False",""
"ao_33211","Entidade","33211","liability_current","False",""
"ao_33221","Entidade","33221","liability_current","False",""
"ao_3331","Entidade","3331","liability_current","False",""
"ao_3391","Entidade","3391","liability_current","False",""
"ao_3411","Imposto Corrente","3411","liability_current","False",""
"ao_3412","Pagamentos por conta","3412","liability_current","False",""
"ao_34131","Retenção na Fonte","34131","asset_current","False",""
"ao_3414","Imposto Estimado","3414","liability_current","False",""
