"id","name","description","invoice_label","sequence","type_tax_use","tax_scope","amount","amount_type","active","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@de"
"angola_sale_tax_14","IVA14","IVA 14% Sale","IVA14","10","sale","","14","percent","True","tax_group_iva_14","base","invoice","","","100","IVA14"
"","","","","","","","","","","","tax","invoice","","","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","","100",""
"angola_sale_tax_0","IVA0","IVA 0% Sale","IVA0","20","sale","","0","percent","True","tax_group_iva_0","base","invoice","","","100","IVA0"
"","","","","","","","","","","","tax","invoice","","","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","","100",""
"angola_purchase_tax_14","IVA14 Comp","IVA 14% Purchase","IVA14","30","purchase","","14","percent","True","tax_group_iva_14","base","invoice","","","100","IVA14 Comp"
"","","","","","","","","","","","tax","invoice","","","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","","100",""
"angola_purchase_tax_0","IVA0 Comp","IVA 0% Purchase","IVA0","40","purchase","","0","percent","True","tax_group_iva_0","base","invoice","","","100","IVA0 Comp"
"","","","","","","","","","","","tax","invoice","","","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","","100",""
